Date Published,Date Added,Company,Role,Domain / Focus,Location,Priority,Duration,Deadline / Urgency,Compensation,Application Link,Status,Notes / Action Items
2026-08-01,2026-08-13,Atoms,Software Engineer Intern (Physical AI & Robotics),Robotics & Hardware-AI Integration,"San Francisco, CA",High Priority,Short,,$70/hr,https://job-boards.greenhouse.io/cssmerge/jobs/8687896002,Pending,
2026-08-03,2026-08-13,ByteDance / TikTok,Software Engineer Intern (AI Platform),AI Platform & Deep Learning Infrastructure,"San Jose, CA",High Priority,Long,,$45/hr + housing allowance,https://joinbytedance.com/search/7668212952030841093,No Application,
2026-08-05,2026-08-13,Roblox,Software Engineer Intern (AI & Systems),AI & Core Infrastructure,"San Mateo, CA",High Priority,Short,,Competitive,https://careers.roblox.com/jobs/8072713,Rejected,"Rejection notice received August 25, 2026 (following completed assessments)"
2026-08-08,2026-08-13,Robocollective.AI,AI & Robotics Innovation Intern,Robotics Solutions & Digital Automation,Remote,High Priority,Short,,Competitive,https://www.indeed.com/q-robotics-summer-intern-2027-jobs.html,No Application,
2026-08-02,2026-08-13,Sentry,Software Engineer Intern,Developer Platforms & Distributed Systems,"San Francisco, CA",Medium Priority,Short,,Competitive,https://github.com/speedyapply/2027-SWE-College-Jobs,No Application,
2026-08-04,2026-08-13,Aquatic Capital Management,Software Engineer Intern,Quantitative Trading Software & Low Latency,"Chicago, IL",Low Priority,Short,,Competitive,https://job-boards.greenhouse.io/aquaticcapitalmanagement/jobs/8489233002,Rejected,Rejection notice received
2026-07-28,2026-08-13,IMC Trading,Software Engineer Intern,High-Performance C++/Java Trading Systems,"Chicago, IL",Low Priority,Long,,$200k base prorated ($100/hr) + housing,https://www.imc.com/us/careers/jobs/4823924101,No Application,
2026-08-10,2026-08-14,SpaceX,Summer 2027 Software Engineering Internship / Co-op,Flight Software & Autonomous Avionics,"Hawthorne, CA (near UCLA)",High Priority,Short,,Competitive + Housing Support,https://job-boards.greenhouse.io/spacex/jobs/8621757002,Pending,
2026-08-08,2026-08-14,Tesla,Engineering Automation Software Engineer Intern (Vehicle Engineering),Automation Systems & Robotics Testing,"Palo Alto / Fremont, CA",High Priority,Long,,Competitive + Relocation,https://www.tesla.com/careers/search/job/internship-engineering-automation-software-engineer-vehicle-engineering-winter-spring-2027--279763,No Application,
2026-08-11,2026-08-14,Haast Autonomous,Summer 2027 Engineering Internship,Robotics & Autonomous Systems Hardware/Software,"San Francisco, CA",High Priority,Short,,Competitive,https://www.indeed.com/q-robotics-engineering-internship-summer-jobs.html,No Application,
2026-08-14,2026-08-14,Western Digital,Summer 2027 Software Engineering Internship,Embedded Firmware & Storage Systems,"Colorado Springs, CO / San Jose, CA",Medium Priority,Long,,$34 - $47/hr,https://mail.google.com/,No Application,
2026-08-04,2026-08-14,NASA,OSTEM Robotics & Computing Internship (Summer 2027),"Robotics, Autonomous Navigation & Space Systems","Mountain View, CA (Ames) / Multi-Center",High Priority,Long,,Paid (Stipend),https://www.nasa.gov/learning-resources/internship-programs/,No Application,
2026-08-12,2026-08-15,Anduril Industries,2027 Software Engineer Intern,Autonomous Defense Systems & Robotics,"Costa Mesa, CA",High Priority,Short,,Competitive + Housing Support,https://job-boards.greenhouse.io/andurilindustries/jobs/5148079007?gh_jid=5148079007,No Application,
2026-08-11,2026-08-15,Freeform,Software Engineering Intern (Summer 2027),Autonomous Manufacturing & Real-Time Robotics Controls,"Hawthorne, CA (near UCLA)",High Priority,Short,,Competitive,https://job-boards.greenhouse.io/freeformfuturecorp/jobs/7872198003,Rejected,Rejection notice received August 19
2026-08-09,2026-08-15,Akuna Capital,Software Engineer Intern - C++ (Summer 2027),Low-Latency High-Performance Systems,"Chicago, IL",Low Priority,Short,,Competitive + Housing,https://job-boards.greenhouse.io/akunacapital/jobs/7951923,No Application,
2026-08-14,2026-08-16,Notion,Software Engineer Intern (Summer 2027),Core Product & Systems Engineering,"San Francisco, CA",High Priority,Short,,Competitive,https://jobs.ashbyhq.com/notion/3fba1c39-c5cb-47d7-9ad2-1cec4d7e9d0c,No Application,
2026-08-06,2026-08-16,Salesforce,Summer 2027 Intern - Software Engineer,Enterprise Infrastructure & Cloud Systems,"San Francisco, CA",High Priority,Long,,Competitive,https://salesforce.wd12.myworkdayjobs.com/en-US/External_Career_Site/job/Summer-2027-Intern---Software-Engineer_JR337715,No Application,
2026-08-13,2026-08-16,Odys Aviation,Robotics & Embedded Systems Intern (Summer 2027),Autonomous Flight & Embedded Microcontrollers,"Long Beach, CA (near UCLA)",High Priority,Short,,Competitive,"https://www.indeed.com/q-robotics-internships-l-los-angeles,-ca-jobs.html",No Application,
2026-08-12,2026-08-16,Heliux Inc.,"Software Engineer (Internship, Summer 2027)",AI-Native Manufacturing & Hardware Systems,"San Francisco, CA",High Priority,Short,,Competitive,"https://www.indeed.com/q-summer-internships-software-engineering-l-san-francisco-bay-area,-ca-jobs.html",No Application,
